template_code,file,name
SCR-002,2.docx,38100-7137409023354993640XX小朋友XX
SCR-003,3.docx,11049006712585大家好，我是XX欢迎来参加我的XX生
SCR-004,4.docx,27133553581400261810535032951646
SCR-005,5.docx,18294351367790HAPPY BIRTHDAYHAPP
SCR-006,6.docx,170815-36195
SCR-007,7.docx,1073150-1392555-1761490-664210-1
SCR-008,8.docx,259715-1092835-880110-1951355-11
SCR-009,9.docx,1417320-401320-1126490-888365-14
SCR-010,10.docx,16262354760595承蒙各位亲朋好友的厚爱特设薄宴，敬请
SCR-011,11.docx,1711325-808990Turning (age)Is so
SCR-012,12.docx,??????12
SCR-013,13.docx,349256068695期待您的光临！期待您的光临！121856
SCR-014,14.docx,1137920-942975-4706620-247904010
SCR-015,15.docx,171450-704850-342900-27940100901
SCR-016,16.docx,10160007593965-1283970-880110412
SCR-017,17.docx,39243050145957886704895850诚邀您参加我
SCR-018,18.docx,3352801401445邀请函邀请函-923290107188
SCR-019,19.docx,1209675495300邀请函邀请函348615079375-
SCR-020,20.docx,433705-619760
SCR-021,21.docx,12192002202180邀请函邀请函355600395224
SCR-022,22.docx,4057654316095尊敬的 XX 先生/女士：尊敬的 XX
SCR-023,23.docx,15728953573780XX生日XX岁宴邀请函XX生日XX岁
SCR-024,24.docx,1143000-897890-1174754933950活动时间
SCR-025,25.docx,??????25
SCR-026,26.docx,621030596900-1784352943225亲爱的 ：你
SCR-027,27.docx,18364209694545163004595396051623
SCR-028,28.docx,11061701676400诚邀XX 先生/女士诚邀XX 先生/
SCR-029,29.docx,41535356827520XXXX12058653977005
SCR-030,30.docx,298456697980生日邀请兹邀请可爱的你参加XX的生日宴请
SCR-031,31.docx,1047750-12712702832105618480期待您的
SCR-032,32.docx,1787525770318516795758384540挚爱的亲
SCR-033,33.docx,3205480658622018116555989320祝贺XX
SCR-034,34.docx,18161003746500尊敬的先生/女士您好! 我们荣幸地邀
SCR-035,35.docx,24282406022340HAPPY BIRTHDAYHAPP
SCR-036,36.docx,1151890-1500505360489588265-4781
SCR-037,37.docx,661035-782320寿寿-1149985-925195
SCR-038,38.docx,23679156836410XX老人XX岁大寿XX老人XX岁大寿
SCR-039,39.docx,4288790-918845-1142365-913765
SCR-040,40.docx,1619885000
SCR-041,41.docx,01270
SCR-042,42.docx,902970-114304279901166495Birthda
SCR-043,43.docx,574992594615-3651253263908522335
SCR-044,44.docx,5795010342900Birthday partyBirth
SCR-045,45.docx,5333365-11430005276850945515邀请函邀
SCR-046,46.docx,2344420-11449055148580-577850533
SCR-047,47.docx,5327650-573405418465025400724281
SCR-048,48.docx,2533650-112331574396603333754724
SCR-049,49.docx,4564380-11430004381500-899795570
SCR-050,50.docx,1346203700145亲爱的小伙伴们：XX我就要满XX周岁了
SCR-051,51.docx,5943606169660诚邀您参加我的生日派对诚邀您参加我的生
SCR-052,52.docx,4305307530465宴会时间：XX地点：XX宴会时间：XX
SCR-053,53.docx,11963407198995-882653223260我可爱的朋
SCR-054,54.docx,4718056160135XX地点：XXXX地点：XX27622
SCR-055,55.docx,996957148830XX满月宴请上XX·喜·得·千·金·福·
SCR-056,56.docx,158369047459904718057176135诚邀您参加
SCR-057,57.docx,5162554482465欢迎各位亲朋参加宝贝的满月宴时间：XX
SCR-058,58.docx,4711703176270欢迎各位亲朋参加宝贝的满月宴时间：XX
SCR-059,59.docx,1088390-6286505487670-79375快乐每天·
SCR-060,60.docx,42545005382260时间：XX地点：XX时间：XX地点：
SCR-061,61.docx,13893804974590邀请函邀请函105283072237
SCR-062,62.docx,359219525692101167765-429895-986
SCR-063,63.docx,33756602487295XXthXXth-170497562
SCR-064,64.docx,1474470497078013944604589145XXXX
SCR-065,65.docx,1417320-401320-1126490-888365-14
